Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AZN.L,HSBA.L,AZN.L,HSBA.L,AZN.L,HSBA.L,AZN.L,HSBA.L,AZN.L,HSBA.L,AZN.L,HSBA.L
Date,,,,,,,,,,,,
2022-11-11 00:00:00+00:00,10158.076171875,392.963134765625,10598.0,470.20001220703125,11028.0,476.6000061035156,10598.0,469.6499938964844,11006.0,472.25,2913259,23946629
2022-11-14 00:00:00+00:00,10416.8671875,401.4040832519531,10868.0,480.29998779296875,10968.0,483.0,10542.0,471.29998779296875,10576.0,472.75,2163702,18085476
2022-11-15 00:00:00+00:00,10351.69140625,401.15338134765625,10800.0,480.0,11010.0,483.8999938964844,10780.0,475.95001220703125,10868.0,482.5,1634491,19489207
2022-11-16 00:00:00+00:00,10301.8505859375,397.392578125,10748.0,475.5,10860.0,479.8999938964844,10732.0,473.95001220703125,10844.0,478.1000061035156,2124542,16851839
2022-11-17 00:00:00+00:00,10365.109375,402.1562805175781,10814.0,481.20001220703125,10818.0,481.3999938964844,10695.0,471.29998779296875,10758.0,476.8999938964844,1234336,14773800
2022-11-18 00:00:00+00:00,10466.7109375,400.2340393066406,10920.0,478.8999938964844,10996.0,484.45001220703125,10752.0,474.1000061035156,10752.0,474.75,2150528,34581612
2022-11-21 00:00:00+00:00,10610.4833984375,404.0783996582031,11070.0,483.5,11118.0,486.0,10936.732421875,478.1000061035156,10954.0,479.54998779296875,1128012,30785977
2022-11-22 00:00:00+00:00,10623.90234375,406.8781433105469,11084.0,486.8500061035156,11124.0,489.5,10976.0,483.54998779296875,11074.0,484.25,1214034,11529697
2022-11-23 00:00:00+00:00,10539.5556640625,408.84210205078125,10996.0,489.20001220703125,11130.3564453125,491.45001220703125,10956.0,484.70001220703125,11100.0,486.95001220703125,1085234,15876477
2022-11-24 00:00:00+00:00,10470.5439453125,409.09283447265625,10924.0,489.5,11038.0,492.9800109863281,10869.349609375,487.5249938964844,10960.0,489.54998779296875,1020204,10402601
2022-11-25 00:00:00+00:00,10499.2978515625,411.140380859375,10954.0,491.95001220703125,11012.0,491.95001220703125,10890.0,487.79998779296875,10934.0,487.79998779296875,839863,23394528
2022-11-28 00:00:00+00:00,10591.3134765625,408.3406982421875,11050.0,488.6000061035156,11098.0,490.3999938964844,10876.0,481.20001220703125,11000.0,481.3999938964844,1157755,44234698
2022-11-29 00:00:00+00:00,10600.8994140625,426.47613525390625,11060.0,510.29998779296875,11176.0,515.4000244140625,10988.0,490.29998779296875,11034.0,490.6499938964844,2434217,37036353
2022-11-30 00:00:00+00:00,10702.498046875,425.9747009277344,11166.0,509.70001220703125,11228.0,511.8999938964844,11056.0,504.5,11108.0,507.29998779296875,3794486,46323161
2022-12-01 00:00:00+00:00,10735.0869140625,416.113037109375,11200.0,497.8999938964844,11222.0,506.70001220703125,11102.0,497.3500061035156,11200.0,501.0,1282615,22994441
2022-12-02 00:00:00+00:00,10714.0009765625,416.61444091796875,11178.0,498.5,11230.0,499.1499938964844,11074.0,488.29998779296875,11168.0,492.95001220703125,1347226,25331250
2022-12-05 00:00:00+00:00,10792.59765625,417.86810302734375,11260.0,500.0,11264.0,502.79998779296875,11162.0,494.3999938964844,11186.0,497.0,1336663,38359432
2022-12-06 00:00:00+00:00,10687.162109375,416.7398681640625,11150.0,498.6499938964844,11268.0,503.0,11150.0,496.0,11240.0,496.70001220703125,1648969,20112726
2022-12-07 00:00:00+00:00,10790.6787109375,412.728271484375,11258.0,493.8500061035156,11350.0,498.29998779296875,11222.0,491.8500061035156,11240.0,495.5,1599108,36138248
2022-12-08 00:00:00+00:00,10846.2724609375,413.94012451171875,11316.0,495.29998779296875,11366.0,498.9989929199219,11206.0,493.5,11306.0,494.6000061035156,2292719,14697498
2022-12-09 00:00:00+00:00,10882.6943359375,414.69232177734375,11354.0,496.20001220703125,11413.31640625,498.3500061035156,11264.0,493.6000061035156,11334.0,495.8999938964844,2462856,15633060
2022-12-12 00:00:00+00:00,10878.8603515625,414.817626953125,11350.0,496.3500061035156,11364.0,499.95001220703125,11266.0,493.1000061035156,11314.0,499.6000061035156,1214972,16666852
2022-12-13 00:00:00+00:00,10855.8564453125,417.95166015625,11326.0,500.1000061035156,11396.0,508.0,11224.0,497.70001220703125,11290.0,498.20001220703125,1746160,21965456
2022-12-14 00:00:00+00:00,10926.78515625,415.9458923339844,11400.0,497.70001220703125,11414.0,502.79998779296875,11143.4404296875,496.6499938964844,11258.0,500.0,3363995,43951829
2022-12-15 00:00:00+00:00,10888.4443359375,411.72540283203125,11360.0,492.6499938964844,11414.0,493.79998779296875,11282.0,487.6499938964844,11322.0,492.5,1191977,18123848
2022-12-16 00:00:00+00:00,10692.9140625,411.3910827636719,11156.0,492.25,11366.0,496.29998779296875,11062.0,481.0,11366.0,493.0,5753405,50367136
2022-12-19 00:00:00+00:00,10646.90625,414.3161926269531,11108.0,495.75,11182.0,496.8500061035156,11044.0,492.1499938964844,11170.0,493.8500061035156,1701253,10334574
2022-12-20 00:00:00+00:00,10664.1591796875,420.2081298828125,11126.0,502.79998779296875,11160.0,503.8999938964844,11054.0,494.70001220703125,11106.0,495.5,809011,35020690
2022-12-21 00:00:00+00:00,10777.2607421875,427.3118896484375,11244.0,511.29998779296875,11268.0,511.8999938964844,11078.0,501.3999938964844,11162.0,501.79998779296875,1105988,15859353
2022-12-22 00:00:00+00:00,10836.6875,428.1476135253906,11306.0,512.2999877929688,11368.0,516.0999755859375,11202.0,510.6000061035156,11236.0,512.7000122070312,2227678,26334928
2022-12-23 00:00:00+00:00,10771.5087890625,426.47613525390625,11238.0,510.29998779296875,11328.0,513.2999877929688,11206.0,508.8999938964844,11290.0,511.3999938964844,440196,19354109
2022-12-28 00:00:00+00:00,10783.01171875,432.9113464355469,11250.0,518.0,11284.0,520.7000122070312,11186.0,510.70001220703125,11264.0,515.2999877929688,1027336,24836592
2022-12-29 00:00:00+00:00,10876.9443359375,433.5799255371094,11348.0,518.7999877929688,11356.0,520.1500244140625,11166.0,514.4000244140625,11244.0,516.9000244140625,699578,8053077
2022-12-30 00:00:00+00:00,10752.33984375,430.9891662597656,11218.0,515.7000122070312,11326.0,519.2000122070312,11218.0,515.5999755859375,11292.0,516.9000244140625,646706,8437810
2023-01-03 00:00:00+00:00,11055.22265625,442.8565673828125,11534.0,529.9000244140625,11552.0,531.7000122070312,11254.0,515.7000122070312,11318.0,518.0999755859375,1827870,33285725
2023-01-04 00:00:00+00:00,11120.400390625,454.2226257324219,11602.0,543.5,11746.0,544.7999877929688,11536.0,532.5,11536.0,535.0999755859375,1332731,21604090
2023-01-05 00:00:00+00:00,11223.9169921875,472.4416809082031,11710.0,565.2999877929688,11730.0,568.4000244140625,11476.0,545.3989868164062,11524.0,548.0,2215897,36654670
2023-01-06 00:00:00+00:00,11292.927734375,475.1995544433594,11782.0,568.5999755859375,11808.0,569.8499755859375,11690.0,559.5999755859375,11734.0,566.0,4153691,31225164
2023-01-09 00:00:00+00:00,11248.837890625,470.6866760253906,11736.0,563.2000122070312,11758.0,566.7999877929688,11602.0,561.5999755859375,11694.0,564.5,1989665,23530081
2023-01-10 00:00:00+00:00,11312.0986328125,471.438720703125,11802.0,564.0999755859375,11886.0,566.4000244140625,11666.0,559.7440185546875,11714.0,561.9000244140625,3318361,15239244
2023-01-11 00:00:00+00:00,11151.072265625,476.0353088378906,11634.0,569.5999755859375,11816.0,573.0,11624.0,565.2000122070312,11756.0,566.5,6368782,51986581
2023-01-12 00:00:00+00:00,10972.79296875,486.2312927246094,11448.0,581.7999877929688,11756.0,585.6500244140625,11312.0,571.2000122070312,11612.0,572.2999877929688,2689299,27880378
2023-01-13 00:00:00+00:00,11172.158203125,494.0871887207031,11656.0,591.2000122070312,11730.0,594.5999755859375,11468.0,584.2000122070312,11472.0,585.0,3914240,72127539
2023-01-16 00:00:00+00:00,11191.3291015625,498.1823425292969,11676.0,596.0999755859375,11708.0,598.0,11622.0,592.0689697265625,11662.0,593.4000244140625,884693,18356071
2023-01-17 00:00:00+00:00,11118.484375,494.0871887207031,11600.0,591.2000122070312,11706.0,596.7000122070312,11520.0,589.0999755859375,11664.0,595.0999755859375,1321499,46847974
2023-01-18 00:00:00+00:00,11097.396484375,493.66937255859375,11578.0,590.7000122070312,11644.0,593.2999877929688,11514.0,586.9000244140625,11602.0,589.2000122070312,3152528,41081237
2023-01-19 00:00:00+00:00,10945.955078125,489.3235168457031,11420.0,585.5,11580.0,588.5999755859375,11384.0,578.7000122070312,11524.0,587.0,2912324,28885831
